CELLNAME	DRUG	AUC
7860	3053	0.6605
7860	3053	0.5844
7860	3053	0.5679
7860	3053	0.6764
7860	3053	0.6282
7860	3053	0.5744
7860	3053	0.5911
7860	3053	0.401
7860	3053	0.5512
7860	3053	0.5579
7860	3053	0.3339
7860	3053	0.5998
7860	3053	0.6153
7860	3053	0.6635
7860	3053	0.6099
7860	3053	0.5961
7860	3053	0.6175
7860	3053	0.4989
7860	3053	0.5436
7860	3053	0.5366
7860	3053	0.6134
7860	3053	0.8771
7860	3053	0.597
7860	3053	0.4907
7860	3053	0.5056
7860	3053	0.5763
7860	3053	0.5339
7860	3053	0.6359
7860	3053	0.5598
7860	3053	0.4103
7860	3053	0.531
7860	3053	0.5347
7860	3053	0.6776
7860	3053	0.5239
7860	3053	0.5238
7860	3053	0.59
7860	3053	0.5505
7860	3053	0.5706
7860	3053	0.4956
7860	3053	0.5986
7860	3053	0.6906
7860	3053	0.5917
7860	3053	0.5939
7860	3053	0.6136
7860	3053	0.6505
7860	3061	0.8828
7860	3061	0.912
7860	3069	1.0
7860	3069	1.0
7860	3088	0.9009999999999999
7860	3088	0.9606
7860	3088	0.8845
7860	3088	0.9531
7860	3088	0.9258
7860	3088	0.9406
7860	3088	0.9433
7860	3088	0.9861
7860	3088	0.9432
7860	3088	0.9291
7860	3088	0.9574
7860	3088	0.9596
7860	3088	0.9537
7860	3088	0.9526
7860	3088	0.9818
7860	3088	0.9564
7860	3088	0.9495
7860	3088	0.9554
7860	3088	0.978
7860	3088	0.9614
7860	3088	0.9529
7860	3088	0.9516
7860	3088	0.9715
7860	3088	0.9663
7860	3088	0.9751
7860	3088	0.9628
7860	3088	0.9354
7860	3088	0.9473
7860	3088	0.8981
7860	3088	0.8859
7860	3088	0.8377
7860	3088	0.8667
7860	3088	0.9561
7860	3088	0.9351
7860	3088	0.9407
7860	3088	0.9472
7860	3088	0.951
7860	3088	0.9362
7860	3088	0.9645
7860	3088	0.9777
7860	3088	0.9573
7860	3088	0.9578
7860	3088	0.9715
7860	3088	0.9582
7860	3088	0.9556
7860	3088	0.9543
7860	3088	0.9646
7860	3088	0.9651
7860	3088	0.9601
7860	3088	0.9541
7860	3088	0.9504
7860	3088	0.9422
7860	3088	0.9536
7860	3088	0.9432
7860	3088	0.9278
7860	3088	0.9345
7860	3088	0.9489
7860	3088	0.985
7860	3088	0.9607
7860	3088	0.9756
7860	3088	0.9598
7860	3088	0.9416
7860	3088	0.9584
7860	3088	0.9594
7860	3088	0.9569
7860	3088	0.9721
7860	3088	0.9856
7860	3088	1.0
7860	3088	0.9293
7860	3088	0.9524
7860	3088	0.9595
7860	3088	0.9457
7860	3088	0.9682
7860	3088	0.9689
7860	3088	0.9634
7860	3088	0.9640000000000001
7860	3088	0.9576
7860	3088	0.9624
7860	3088	0.9765
7860	3088	0.9663
7860	3088	0.9603
7860	3088	0.9801
7860	3088	0.9538
7860	3088	0.9124
7860	3088	0.9644
7860	3088	0.9865
7860	3088	0.9599
7860	3088	0.9507
7860	3088	0.9672
7860	3088	0.9603
7860	3088	0.9593
7860	3088	0.9491
7860	3088	0.92
7860	3088	0.9579
7860	3088	0.9751
7860	3090	0.6463
7860	312887	0.9659
7860	312887	0.9293
7860	312887	0.9605
7860	312887	0.9506
7860	315851	1.0
7860	317629	0.9769
7860	32065	0.9974
7860	32065	0.9944
7860	32065	0.9998
7860	32065	0.9998
7860	32065	0.9358
7860	32065	0.9807
7860	32065	0.9998
7860	32065	0.99
7860	32065	0.9907
7860	32065	0.9942
7860	32065	0.991
7860	32065	0.9942
7860	32065	0.9822
7860	32065	0.9957
7860	32065	0.9942
7860	32065	0.9894
7860	32065	0.9947
7860	321521	0.6746
7860	321521	0.6716
7860	32982	0.8216
7860	32982	0.8603
7860	337250	0.9856
7860	34462	0.875
7860	34462	0.8915
7860	34462	0.8583
7860	34462	0.9061
7860	34462	0.9024
7860	34462	0.9476
7860	34462	0.9482
7860	34462	0.8942
7860	34462	0.8884
7860	34462	0.9236
7860	34462	0.9146
7860	34462	0.8984
7860	34462	0.9559
7860	34462	0.8767
7860	34462	0.9446
7860	34462	0.9219
7860	34462	0.9096
7860	34462	0.8849
7860	34462	0.9159999999999999
7860	34521	0.9988
7860	34936	0.9782
7860	34936	0.9779
7860	34936	0.9732
7860	352122	0.5908
7860	352122	0.6129
7860	352122	0.7311
7860	352122	0.682
7860	352122	0.6386
7860	352122	0.7323
7860	352122	0.6382
7860	352122	0.7186
7860	35347	0.9896
7860	35443	0.9420000000000001
7860	362856	0.9976
7860	362856	0.9801
7860	367746	0.9784
7860	369100	0.8897
7860	369100	0.9502
7860	38721	0.8998
7860	38721	0.9127
7860	38721	0.9037
7860	38721	0.9182
7860	38721	0.9117
7860	38721	0.9202
7860	38721	0.9084
7860	38721	0.9029
7860	38721	0.8978
7860	38721	0.9266
7860	38721	0.8994
7860	38721	0.9094
7860	38721	0.94
7860	38721	0.9029
7860	38721	0.9116
7860	38721	0.9133
7860	38721	0.7122
7860	38721	0.8918
7860	38721	0.8927
7860	39661	0.9937
7860	407305	0.9654
7860	409962	0.9801
7860	409962	0.9436
7860	409962	0.9663
7860	409962	0.9691
7860	409962	0.9627
7860	409962	0.9649
7860	409962	0.9670000000000001
7860	409962	0.971
7860	409962	0.9577
7860	409962	0.9693
7860	409962	0.9572
7860	409962	0.963
7860	409962	0.9671
7860	409962	0.9659
7860	409962	0.958
7860	409962	0.9679
7860	409962	0.9646
7860	409962	0.9723
7860	409962	0.9583
7860	409962	0.9555
7860	409962	0.9646
7860	409962	0.9629
7860	409962	0.9599
7860	409962	0.9712
7860	409962	0.9390000000000001
7860	409962	0.9724
7860	409962	0.9583
7860	409962	0.9614
7860	409962	0.9635
7860	409962	0.9653
7860	409962	0.9649
7860	409962	0.9643
7860	409962	0.9644
7860	409962	0.9652
7860	409962	0.9664
7860	409962	0.9684
7860	409962	0.9714
7860	409962	0.961
7860	409962	0.9592
7860	409962	0.9606
7860	409962	0.9925
7860	409962	0.9594
7860	409962	0.9569
7860	409962	0.9645
7860	409962	0.9638
7860	409962	0.9745
7860	409962	0.9578
7860	409962	0.9643
7860	409962	0.9661
7860	409962	0.9653
7860	409962	0.9571
7860	409962	0.9604
7860	409962	0.9661
7860	409962	0.9640000000000001
7860	409962	0.9504
7860	409962	0.9659
7860	409962	0.9684
7860	409962	0.9623
7860	409962	0.9716
7860	409962	0.9701
7860	409962	0.9677
7860	409962	0.9693
7860	409962	0.9666
7860	409962	0.9741
7860	409962	0.8296
7860	409962	0.8477
7860	409962	0.8898
7860	409962	0.8282
7860	409962	0.9778
7860	409962	0.97
7860	409962	0.9744
7860	409962	0.9858
7860	409962	0.9772
7860	409962	0.9728
7860	409962	0.9740000000000001
7860	409962	0.9857
7860	409962	0.9617
7860	409962	0.9854
7860	409962	0.9624
7860	409962	0.9614
7860	409962	0.9961
7860	409962	0.9742
7860	409962	0.9989
7860	409962	0.9802
7860	409962	0.9689
7860	409962	0.9797
7860	409962	0.9795
7860	409962	0.9911
7860	409962	0.9793
7860	409962	0.973
7860	409962	0.9740000000000001
7860	409962	0.9651
7860	4291	0.8833
7860	4375	0.9826
7860	45388	0.9743
7860	45388	0.9767
7860	45388	0.9554
7860	45388	0.9959
7860	45388	0.9724
7860	45388	0.9721
7860	45388	0.9912
7860	45388	0.9878
7860	45388	0.9644
7860	45388	0.9473
7860	45388	0.9632
7860	45388	0.9425
7860	45388	0.9617
7860	45388	0.9712
7860	45388	0.9631
7860	45388	0.9855
7860	45388	0.9942
7860	45388	0.8353
7860	45388	0.9772
7860	45388	0.9967
7860	45388	0.9928
7860	45388	0.9964
7860	45923	0.9551
7860	4722	0.9929
7860	4722	0.9983
7860	4722	0.9973
